Start Time,Period (min),NE Name,DGW function,User Plane L7 parser DNS downlink packets (number),User Plane L7 parser DNS uplink packets (number),User Plane L7 parser downlink packets (number),User Plane L34 parser uplink packets (number),User Plane L7 parser uplink packets (number),User Plane L34 parser downlink packets (number),Date,Time
2023-09-06 05:30:00,30,UPPNB04,nodeName=dgw,34826021,37128168,5670916574,10232988,2713406240,28000296,2023-09-06,05:30:00
2023-09-06 05:30:00,30,UPPNB06,nodeName=dgw,79979853,85177647,13073857996,23724242,6294405099,63836444,2023-09-06,05:30:00
2023-09-06 06:00:00,30,UPCBT03,nodeName=dgw,80035411,87287293,10307150622,51256203,4490688043,87377379,2023-09-06,06:00:00
2023-09-06 06:00:00,30,UPPLB02,nodeName=dgw,98588163,104379836,14409698920,29597227,6433990106,88360964,2023-09-06,06:00:00
2023-09-06 06:00:00,30,UPBNB02,nodeName=dgw,113035649,119543514,14001336152,85252433,6343688411,162727439,2023-09-06,06:00:00
2023-09-06 06:00:00,30,UPPNB04,nodeName=dgw,44987694,47654797,7119396915,11682199,3415941367,31320340,2023-09-06,06:00:00
2023-09-06 06:00:00,30,UPPNB06,nodeName=dgw,103334366,109616373,16402024825,29090044,7890576860,81084808,2023-09-06,06:00:00
2023-09-06 06:30:00,30,UPPLB02,nodeName=dgw,99686789,105584106,14661385070,28559791,6481173499,83684993,2023-09-06,06:30:00
2023-09-06 06:30:00,30,UPCBT03,nodeName=dgw,85070017,93231406,11483912702,58408998,4935450860,101022744,2023-09-06,06:30:00
2023-09-06 06:30:00,30,UPBNB02,nodeName=dgw,112918085,119672414,14204032835,92621414,6362782100,165971526,2023-09-06,06:30:00
2023-09-06 06:30:00,30,UPPNB04,nodeName=dgw,49015848,51940782,7829301997,12579670,3731119861,33654462,2023-09-06,06:30:00
2023-09-06 06:30:00,30,UPPNB06,nodeName=dgw,112586838,119490739,18096914354,28891994,8608249818,79412471,2023-09-06,06:30:00
2023-09-06 07:00:00,30,UPCBT03,nodeName=dgw,88479975,98438369,12572208179,63671726,5419824359,111610314,2023-09-06,07:00:00
2023-09-06 07:00:00,30,UPPLB02,nodeName=dgw,103324556,109297481,15241952074,32588016,6734678984,89728155,2023-09-06,07:00:00
2023-09-06 07:00:00,30,UPBNB02,nodeName=dgw,118925231,125534282,15047438057,101554889,6739673694,183283685,2023-09-06,07:00:00
2023-09-06 07:00:00,30,UPPNB04,nodeName=dgw,53213185,56247213,8468276237,14315433,4000098946,38036136,2023-09-06,07:00:00
2023-09-06 07:00:00,30,UPPNB06,nodeName=dgw,121672359,128598024,19411139854,30919827,9195363541,84289147,2023-09-06,07:00:00
2023-09-06 07:30:00,30,UPCBT03,nodeName=dgw,88452330,97473270,13188554456,66840259,5649382671,116033657,2023-09-06,07:30:00
2023-09-06 07:30:00,30,UPPLB02,nodeName=dgw,103224789,108860893,16130483872,36962974,7079400768,102049052,2023-09-06,07:30:00
2023-09-06 07:30:00,30,UPBNB02,nodeName=dgw,116048719,122456139,15578656441,105824113,6927164330,191115849,2023-09-06,07:30:00
2023-09-06 07:30:00,30,UPPNB04,nodeName=dgw,53881529,56936829,9208725055,15581187,4313164464,42748284,2023-09-06,07:30:00
2023-09-06 07:30:00,30,UPPNB06,nodeName=dgw,123825629,130864598,21276990297,37149908,9954178773,102712736,2023-09-06,07:30:00
2023-09-06 08:00:00,30,UPCBT03,nodeName=dgw,101243214,113096886,13909990688,70178550,6089931216,125192871,2023-09-06,08:00:00
2023-09-06 08:00:00,30,UPPLB02,nodeName=dgw,118691663,124531836,17435369705,40825617,7769216940,109819391,2023-09-06,08:00:00
2023-09-06 08:00:00,30,UPBNB02,nodeName=dgw,131845397,138650312,16520569239,110818726,7481215606,208973556,2023-09-06,08:00:00
