"Result  :  ExportPerformanceQueryResult_ABCF CPU_20231025_112452"
"Save Time: 10/25/2023 11:24:54"

"User Name:ca_usr"

"NE Type:CloudSE2980"

"NE Names:DPS_ASBC01;DPS_ASBC03;DPS_ASBC02"

"FunctionSubset Name:Module CPU Measurement"

"Total 3,396    Records"

"Start Time","Period(min)","NE Name","Module CPU","Average Module CPU Usage (%)","Current Module CPU Usage (%)","Peak Module CPU Usage (%)"
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=434",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1011",2,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=417",1.083,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=468",2,3,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=431",1.417,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1008",2.75,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=414",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=11",7,8,9
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=253",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=465",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=448",2,2,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=151",6.917,7,10
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1005",2,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=411",1.417,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=462",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=445",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=428",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=408",1.417,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=459",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=951",0,0,0
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=442",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1019",2,2,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=425",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1002",2,2,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=456",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=439",1.167,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1016",2,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=422",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=405",1.167,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=453",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=436",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1013",2.583,2,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=419",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=101",0.917,1,2
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=402",2,3,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=470",1.333,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=153",21.5,20,35
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=433",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1010",2,3,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=416",2,3,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=467",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=450",1.833,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=430",1.917,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1007",2.833,3,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=413",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=252",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=464",2,3,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=447",2,2,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=1004",2,2,4
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=410",1,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=902",0,0,1
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=461",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=953",0,0,0
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=444",2,2,3
10/25/2023 00:00:00,60,"DPS_ASBC01","Module number=427",2,2,3
